Feature,Rank
CD28_FYN,2.3636363636363638
ZAP70_TAK1,6.2727272727272725
ZAP70_ZAP70,6.818181818181818
FYB_CD28,7.636363636363637
TRAF1_LCK,10.454545454545455
TRAF2_TAK1,11.272727272727273
SLP76_CD3z,12.636363636363637
PI3K_CD28,13.636363636363637
PKCt_FYN,16.272727272727273
TRAF2_LCK,17.636363636363637
PKCt_CD3z,23.272727272727273
TRAF1_TRAF1,24.0
NCK_FYN,26.09090909090909
CD28_CD3z,26.363636363636363
ZAP70_FYN,27.0
PKCt_TAK1,29.636363636363637
BIRC3_LCK,30.363636363636363
LCK_FYN,30.454545454545453
TRAF1_PKCt,30.636363636363637
TRAF1_FYN,30.90909090909091
BIRC3_FYN,31.09090909090909
BIRC3_TRAF2,31.90909090909091
SLP76_GRAP2,33.54545454545455
FYB_PKCt,35.72727272727273
PI3K_CD3z,37.0
TRAF2_CD28,37.72727272727273
LAT_LAT,42.81818181818182
PI3K_GRAP2,43.63636363636363
FYB_TAK1,47.27272727272727
VAV1_GRAP2,49.27272727272727
LCK_SLP76,49.81818181818182
TRAF1_LAT,50.63636363636363
FYB_TCRb,52.45454545454545
PKCt_TCRb,53.72727272727273
PKCt_BIRC3,55.18181818181818
TRAF2_LAT,55.45454545454545
PKCt_TRAF1,56.0
FYB_GRAP2,56.45454545454545
LCK_BIRC3,59.0
VAV1_PKCt,59.72727272727273
TRAF1_ZAP70,59.90909090909091
NCK_PKCt,60.09090909090909
BIRC3_TAK1,61.18181818181818
PI3K_TRAF1,63.0
BIRC3_TRAF1,64.18181818181819
CD28_LAT,64.36363636363636
CD28_LCK,67.63636363636364
2A_BIRC3,67.81818181818181
LCK_CD28,67.81818181818181
CD28_TAK1,68.0
PI3K_FYN,68.27272727272727
TRAF1_TAK1,68.81818181818181
TRAF2_CD3z,70.27272727272727
FYB_ZAP70,71.27272727272727
PKCt_LAT,71.54545454545455
FYB_BIRC3,71.9090909090909
TCRb_LCK,72.81818181818181
2A_PKCt,73.18181818181819
2A_CD28,74.63636363636364
NCK_TRAF2,74.72727272727273
PI3K_LAT,75.0
PKCt_LCK,75.27272727272727
CD28_PKCt,76.18181818181819
SLP76_TCRb,77.0909090909091
VAV1_CD3z,77.0909090909091
SLP76_LCK,79.0
LCK_TRAF2,79.18181818181819
TCRb_CD3z,79.81818181818181
SLP76_LAT,79.9090909090909
PKCt_GRAP2,80.27272727272727
SLP76_TAK1,81.0909090909091
2A_CD3z,81.36363636363636
SLP76_SLP76,83.63636363636364
2A_SLP76,84.0909090909091
TRAF1_GRAP2,84.54545454545455
FYB_LAT,85.0
SLP76_CD28,85.54545454545455
TCRb_TAK1,85.9090909090909
2A_TRAF1,87.9090909090909
LCK_PKCt,88.0
FYB_FYN,89.18181818181819
PI3K_TAK1,89.36363636363636
TRAF2_GRAP2,89.63636363636364
TRAF1_CD3z,89.63636363636364
FYB_LCK,89.9090909090909
NCK_CD28,90.54545454545455
LCK_CD3z,90.72727272727273
NCK_GRAP2,90.9090909090909
BIRC3_ZAP70,91.0
NCK_BIRC3,92.18181818181819
TRAF2_BIRC3,92.27272727272727
VAV1_LCK,92.27272727272727
VAV1_SLP76,92.36363636363636
LCK_TCRb,93.0
2A_LCK,93.18181818181819
BIRC3_BIRC3,94.27272727272727
VAV1_LAT,94.36363636363636
LCK_ZAP70,95.72727272727273
TRAF1_TCRb,97.0909090909091
TRAF1_CD28,97.18181818181819
CD28_CD28,97.18181818181819
TAK1_TAK1,97.9090909090909
BIRC3_CD28,99.72727272727273
PKCt_PKCt,99.9090909090909
NCK_TRAF1,100.54545454545455
NCK_CD3z,100.63636363636364
NCK_TAK1,101.0
FYB_SLP76,101.0909090909091
TRAF2_TCRb,101.63636363636364
TCRb_LAT,101.81818181818181
2A_FYN,102.45454545454545
TRAF1_BIRC3,102.54545454545455
TCRb_TCRb,103.36363636363636
PKCt_CD28,104.45454545454545
CD28_TRAF1,104.63636363636364
TRAF2_TRAF1,104.72727272727273
TAK1_FYN,105.0
VAV1_BIRC3,105.54545454545455
BIRC3_CD3z,108.0
2A_TCRb,108.18181818181819
VAV1_FYN,108.63636363636364
TRAF1_SLP76,109.0909090909091
LCK_TAK1,109.63636363636364
FYB_CD3z,110.54545454545455
LCK_GRAP2,110.63636363636364
TRAF2_FYN,111.0
TCRb_FYN,111.54545454545455
FYB_TRAF1,112.72727272727273
2A_TAK1,114.0
2A_GRAP2,114.45454545454545
CD28_GRAP2,114.54545454545455
NCK_LAT,115.0
PKCt_SLP76,115.36363636363636
TAK1_TRAF1,115.36363636363636
BIRC3_PKCt,116.63636363636364
LCK_LAT,117.18181818181819
SLP76_FYN,118.18181818181819
BIRC3_LAT,118.36363636363636
TCRb_TRAF2,118.45454545454545
BIRC3_GRAP2,118.72727272727273
FYB_TRAF2,118.9090909090909
NCK_SLP76,119.54545454545455
LCK_LCK,120.81818181818181
NCK_LCK,121.27272727272727
CD28_TRAF2,121.81818181818181
TRAF2_PKCt,122.36363636363636
2A_LAT,123.27272727272727
2A_ZAP70,123.9090909090909
VAV1_TAK1,124.9090909090909
VAV1_TRAF2,125.63636363636364
2A_TRAF2,127.0
SLP76_TRAF1,127.45454545454545
TCRb_TRAF1,127.9090909090909
TRAF2_SLP76,129.1818181818182
TRAF1_TRAF2,129.9090909090909
CD28_TCRb,130.1818181818182
VAV1_TRAF1,130.45454545454547
VAV1_TCRb,134.0
NCK_TCRb,135.0
SLP76_TRAF2,137.63636363636363
