Feature,Rank
CD28_FYN,1.0
BIRC3_LCK,4.45
SLP76_TCRb,4.6
TRAF2_LCK,9.45
TCRb_CD3z,10.15
SLP76_SLP76,12.2
NCK_TRAF1,12.7
TRAF1_TRAF1,15.3
PI3K_CD28,16.65
CD28_CD3z,19.3
BIRC3_TRAF2,20.3
CD28_PKCt,22.5
BIRC3_CD28,22.95
SLP76_LAT,23.1
SLP76_CD3z,25.35
LCK_FYN,25.65
CD28_LCK,26.25
PKCt_TRAF1,29.05
BIRC3_FYN,29.3
TCRb_FYN,30.9
PI3K_TRAF1,33.2
2A_TRAF1,34.15
TRAF2_TRAF1,34.5
LCK_CD28,35.0
PKCt_FYN,35.35
TRAF1_ZAP70,39.2
PKCt_TCRb,41.75
TRAF1_TRAF2,42.95
NCK_FYN,43.85
PKCt_LCK,46.2
SLP76_CD28,48.25
FYB_GRAP2,51.8
TRAF1_LCK,52.45
TRAF1_PKCt,53.1
SLP76_GRAP2,54.15
FYB_PKCt,54.45
FYB_ZAP70,55.9
BIRC3_TAK1,55.95
NCK_PKCt,58.0
TRAF2_ZAP70,58.4
CD28_TRAF1,58.95
VAV1_TCRb,60.8
CD28_CD28,62.5
2A_BIRC3,63.15
LCK_PKCt,63.25
BIRC3_ZAP70,64.3
SLP76_LCK,66.0
LCK_ZAP70,66.05
PI3K_CD3z,67.1
LCK_SLP76,67.3
CD28_LAT,67.8
PKCt_LAT,68.1
FYB_LAT,68.3
FYB_TAK1,68.5
TCRb_TCRb,69.6
PKCt_CD3z,70.3
PI3K_TAK1,73.0
CD28_TCRb,73.6
TRAF2_TAK1,73.65
TRAF2_LAT,75.05
2A_LAT,75.5
TAK1_FYN,75.7
VAV1_TRAF1,75.9
NCK_CD28,77.3
NCK_TRAF2,77.3
TCRb_TRAF2,78.05
BIRC3_BIRC3,79.45
NCK_LAT,80.15
BIRC3_TRAF1,80.4
VAV1_SLP76,81.25
ZAP70_TAK1,82.4
PKCt_GRAP2,83.7
2A_ZAP70,83.85
VAV1_GRAP2,85.05
LCK_CD3z,85.7
TCRb_LCK,86.75
2A_SLP76,88.45
PKCt_PKCt,89.2
TRAF2_FYN,89.25
LCK_TCRb,89.45
PI3K_FYN,89.95
TAK1_TAK1,90.6
TCRb_TRAF1,92.45
CD28_GRAP2,92.9
NCK_BIRC3,93.85
2A_TRAF2,94.15
BIRC3_GRAP2,94.55
PKCt_ZAP70,94.9
VAV1_ZAP70,95.4
FYB_BIRC3,95.45
LCK_TAK1,97.8
BIRC3_TCRb,98.85
LCK_TRAF2,99.5
PKCt_TRAF2,100.1
2A_TCRb,100.1
PKCt_CD28,101.0
VAV1_BIRC3,101.35
TAK1_TRAF1,101.55
2A_FYN,101.55
TRAF1_FYN,101.65
TRAF1_TCRb,101.65
TRAF1_TAK1,101.7
VAV1_TAK1,101.85
NCK_LCK,102.05
VAV1_FYN,102.2
VAV1_PKCt,102.4
CD28_TAK1,102.7
2A_LCK,102.85
2A_CD3z,103.35
ZAP70_ZAP70,103.75
LCK_LAT,104.25
VAV1_LAT,104.3
TRAF1_CD3z,105.15
TRAF2_CD28,105.2
NCK_TAK1,105.35
SLP76_TRAF1,105.9
BIRC3_PKCt,107.1
SLP76_FYN,108.35
TRAF1_BIRC3,109.2
TRAF2_BIRC3,109.7
TRAF1_SLP76,110.35
TRAF2_GRAP2,110.35
LAT_LAT,110.4
TCRb_LAT,110.75
LCK_BIRC3,111.4
VAV1_LCK,111.95
TRAF2_CD3z,112.55
FYB_CD3z,114.15
LCK_GRAP2,114.15
NCK_CD3z,114.4
TCRb_TAK1,114.75
2A_GRAP2,115.1
FYB_SLP76,115.75
2A_CD28,115.95
BIRC3_CD3z,116.1
ZAP70_FYN,116.5
TRAF2_TCRb,116.65
FYB_LCK,116.75
PI3K_TCRb,117.05
FYB_TCRb,117.1
NCK_SLP76,117.15
FYB_CD28,117.7
LCK_LCK,118.4
PKCt_BIRC3,118.5
BIRC3_LAT,119.95
TRAF1_CD28,120.0
2A_TAK1,120.1
FYB_FYN,120.2
TRAF2_TRAF2,122.6
VAV1_CD3z,123.0
TRAF2_SLP76,124.3
TRAF1_LAT,125.15
PI3K_GRAP2,125.55
NCK_TCRb,126.5
FYB_TRAF2,130.4
PKCt_SLP76,130.5
NCK_GRAP2,130.6
TRAF1_GRAP2,130.9
TRAF2_PKCt,131.25
SLP76_TAK1,133.4
PKCt_TAK1,134.65
2A_PKCt,135.5
PI3K_LAT,137.75
FYB_TRAF1,139.15
LCK_TRAF1,145.45
VAV1_TRAF2,147.25
CD28_TRAF2,148.5
NCK_ZAP70,148.6
SLP76_TRAF2,151.35
